Geoid,Geographic Area Name,Total_Population_25_over_Bachelor's_degree_or_higher
19057000700,"Census Tract 7, Des Moines County, Iowa",761
19057000800,"Census Tract 8, Des Moines County, Iowa",400
19057000900,"Census Tract 9, Des Moines County, Iowa",573
19057001000,"Census Tract 10, Des Moines County, Iowa",873
19057001100,"Census Tract 11, Des Moines County, Iowa",523
19057001200,"Census Tract 12, Des Moines County, Iowa",471
19059450200,"Census Tract 4502, Dickinson County, Iowa",415
19059450501,"Census Tract 4505.01, Dickinson County, Iowa",555
19059450502,"Census Tract 4505.02, Dickinson County, Iowa",602
19059450800,"Census Tract 4508, Dickinson County, Iowa",605
19059451000,"Census Tract 4510, Dickinson County, Iowa",725
19059451100,"Census Tract 4511, Dickinson County, Iowa",1236
19061000100,"Census Tract 1, Dubuque County, Iowa",353
19061000300,"Census Tract 3, Dubuque County, Iowa",195
19061000400,"Census Tract 4, Dubuque County, Iowa",543
19061000500,"Census Tract 5, Dubuque County, Iowa",147
19061000600,"Census Tract 6, Dubuque County, Iowa",639
19061000701,"Census Tract 7.01, Dubuque County, Iowa",400
19061000702,"Census Tract 7.02, Dubuque County, Iowa",864
19061000801,"Census Tract 8.01, Dubuque County, Iowa",1483
19061000802,"Census Tract 8.02, Dubuque County, Iowa",1137
19061000900,"Census Tract 9, Dubuque County, Iowa",738
19061001101,"Census Tract 11.01, Dubuque County, Iowa",838
19061001103,"Census Tract 11.03, Dubuque County, Iowa",1004
19061001104,"Census Tract 11.04, Dubuque County, Iowa",1220
19061001201,"Census Tract 12.01, Dubuque County, Iowa",883
19061001202,"Census Tract 12.02, Dubuque County, Iowa",372
19061001204,"Census Tract 12.04, Dubuque County, Iowa",787
19061001205,"Census Tract 12.05, Dubuque County, Iowa",986
19061010101,"Census Tract 101.01, Dubuque County, Iowa",380
19061010103,"Census Tract 101.03, Dubuque County, Iowa",426
19061010104,"Census Tract 101.04, Dubuque County, Iowa",1720
19061010105,"Census Tract 101.05, Dubuque County, Iowa",843
19061010201,"Census Tract 102.01, Dubuque County, Iowa",1629
19061010202,"Census Tract 102.02, Dubuque County, Iowa",621
19061010300,"Census Tract 103, Dubuque County, Iowa",444
19061010400,"Census Tract 104, Dubuque County, Iowa",489
19061010500,"Census Tract 105, Dubuque County, Iowa",727
19061010600,"Census Tract 106, Dubuque County, Iowa",587
19063070100,"Census Tract 701, Emmet County, Iowa",152
19063070200,"Census Tract 702, Emmet County, Iowa",225
19063070300,"Census Tract 703, Emmet County, Iowa",350
19063070400,"Census Tract 704, Emmet County, Iowa",476
19065080100,"Census Tract 801, Fayette County, Iowa",457
19065080200,"Census Tract 802, Fayette County, Iowa",412
19065080300,"Census Tract 803, Fayette County, Iowa",279
19065080400,"Census Tract 804, Fayette County, Iowa",257
19065080500,"Census Tract 805, Fayette County, Iowa",424
19065080600,"Census Tract 806, Fayette County, Iowa",340
19065080700,"Census Tract 807, Fayette County, Iowa",320
19067480100,"Census Tract 4801, Floyd County, Iowa",297
19067480200,"Census Tract 4802, Floyd County, Iowa",358
19067480300,"Census Tract 4803, Floyd County, Iowa",283
