Start Date,End Date,Location Name,Location Type,Location Extra,Disease Type,Reported Cases,Deaths,Longitude,Latitude,,,,,,,,
28.10.1903,,Mardin,District,,Cholera,,,40.7377780,37.3166670,,,,,,,,
28.10.1903,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
28.10.1903,,Ergani,District,,Cholera,,,39.7616670,38.2691670,,,,,,,,
21.07.1904,,Bitlis,Province,,Cholera,,,42.1061620,38.4060750,,,,,,,,
14.12.1904,,Siirt,District,,Cattle Plague,,,41.9458330,37.9250000,,,,,,,,
28.12.1904,,Kars,District,,Cholera,,,43.1000000,40.6166670,,,,,,,,
29.12.1904,,Van,District,,Cholera,,,43.3964480,38.5034930,,,,,,,,
21.05.1905,,Van,District,,Cholera,,,43.3964480,38.5034930,,,,,,,,
06.10.1907,,Erzurum,Province,,Cholera,,,41.2645499,39.9014975,,,,,,,,
15.12.1909,,Erzurum,Province,,Cholera,,,41.2645499,39.9014975,,,,,,,,
15.12.1909,,Eleşkirt,Subdistrict,Erzurum,Cholera,,,42.6744440,39.7980560,,,,,,,,
17.05.1911,,Bitlis,Province,,Cattle Plague,,,42.1061620,38.4060750,,,,,,,,
17.05.1911,,Erzurum,Province,,Cattle Plague,,,41.2645499,39.9014975,,,,,,,,
14.01.1911,,Erzurum,Province,,Cholera,,,41.2645499,39.9014975,,,,,,,,
29.02.1912,,Malatya,District,,Cholera,,,38.2897081,38.3457491,,,,,,,,
02.10.1912,,Diyarbakır,Province,,Cholera,,,40.2400000,37.9100000,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
